City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Yumen,CN,40.2833,97.2,49.75,42,50,9.98,scattered clouds
231,Pangody,RU,65.85,74.4859,42.75,89,100,16.06,overcast clouds
232,Santa Cruz,BO,-17.8,-63.1667,84.25,37,75,13.8,broken clouds
233,Ponta Do Sol,PT,32.6667,-17.1,77.0,73,35,2.13,scattered clouds
234,Andros Town,BS,24.7,-77.7667,85.66,62,28,15.77,scattered clouds
235,Katsuura,JP,35.1333,140.3,73.18,80,95,14.7,overcast clouds
236,Paso De Carrasco,UY,-34.8603,-56.0522,57.65,58,20,5.75,few clouds
237,Garowe,SO,8.4054,48.4845,88.05,36,64,15.03,broken clouds
238,Umm Lajj,SA,25.0213,37.2685,83.23,62,0,11.14,clear sky
239,Pemangkat,ID,1.1667,108.9667,79.41,85,43,9.01,scattered clouds
240,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,12.66,scattered clouds
241,Auki,SB,-8.7676,160.7034,76.84,90,33,5.08,scattered clouds
242,Urubicha,BO,-15.3833,-62.95,91.47,43,45,1.86,scattered clouds
243,Prince Rupert,CA,54.3161,-130.3201,46.09,81,90,16.11,light rain
244,Balaipungut,ID,1.05,101.2833,76.21,91,99,3.96,overcast clouds
245,Sao Filipe,CV,14.8961,-24.4956,80.22,78,22,8.41,few clouds
246,Exeter,GB,50.7236,-3.5275,65.52,85,40,8.05,scattered clouds
247,Carmen,MX,18.6333,-91.8333,84.24,79,75,4.61,broken clouds
248,Acandi,CO,8.5063,-77.2778,82.63,86,46,2.42,scattered clouds
249,Berlevag,NO,70.8578,29.0864,39.2,70,98,27.89,overcast clouds
250,Ndele,CF,8.4109,20.6473,76.32,85,94,2.39,light rain
251,Santiago Del Estero,AR,-27.7951,-64.2615,75.81,31,9,9.91,clear sky
252,Coihaique,CL,-45.5752,-72.0662,59.61,44,20,8.05,few clouds
253,Kieta,PG,-6.2167,155.6333,78.55,81,64,4.7,broken clouds
254,Filadelfia,US,39.9523,-75.1638,77.65,69,75,3.0,broken clouds
255,Kattivakkam,IN,13.2167,80.3167,86.09,76,85,9.69,overcast clouds
256,Quirinopolis,BR,-18.4483,-50.4517,99.63,21,28,4.29,heavy intensity rain
257,Gushi,CN,34.6425,109.5843,55.81,88,42,5.21,scattered clouds
258,Champerico,GT,14.3,-91.9167,90.14,67,78,4.83,broken clouds
259,Dunedin,NZ,-45.8742,170.5036,54.81,68,74,1.99,broken clouds
260,Victoria,HK,22.2855,114.1577,79.32,93,100,1.99,overcast clouds
261,Mokolo,CM,10.7398,13.8019,80.17,34,8,2.75,clear sky
262,Moramanga,MG,-18.9333,48.2,60.19,97,80,4.63,light rain
263,Mahebourg,MU,-20.4081,57.7,72.25,88,75,8.05,light intensity shower rain
264,Khandyga,RU,62.6667,135.6,24.06,94,63,4.59,broken clouds
265,Izumo,JP,35.3667,132.7667,66.15,84,0,3.29,clear sky
266,Paita,PE,-5.0892,-81.1144,77.56,72,61,18.32,broken clouds
267,Gilbues,BR,-9.8317,-45.3439,102.43,15,29,7.72,scattered clouds
268,Amapa,BR,1.0,-52.0,100.42,27,54,4.43,broken clouds
269,Lazaro Cardenas,MX,17.9583,-102.2,86.23,69,29,5.44,scattered clouds
270,Eldorado,BR,-23.7869,-54.2836,74.08,90,100,2.08,light rain
271,Marsa Matruh,EG,31.3525,27.2453,71.8,60,40,11.5,scattered clouds
272,Kirakira,SB,-10.4544,161.9205,78.73,86,88,9.19,overcast clouds
273,Esperance,AU,-33.8667,121.9,51.64,85,59,13.82,broken clouds
274,Husavik,IS,66.0449,-17.3389,44.51,95,100,29.53,moderate rain
275,Tvedestrand,NO,58.622,8.9315,57.33,92,100,7.2,overcast clouds
276,Saint-Augustin,CA,51.226,-58.6502,53.24,39,69,15.14,broken clouds
277,Hun,LY,29.1268,15.9477,83.95,17,0,7.07,clear sky
278,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,81,90,37.98,moderate rain
279,Alihe,CN,50.5667,123.7167,33.6,83,17,2.98,few clouds
280,Graham,US,47.0529,-122.2943,52.77,88,90,0.0,overcast clouds
281,Fujin,CN,47.26,132.0322,42.85,68,37,7.61,scattered clouds
282,Maarianhamina,AX,60.0973,19.9348,53.46,87,0,5.75,clear sky
283,Honggang,CN,46.4667,124.8667,46.9,55,41,6.17,scattered clouds
284,Mitsamiouli,KM,-11.3847,43.2844,79.09,78,20,11.5,few clouds
285,Roma,US,43.2128,-75.4557,77.38,77,2,1.99,clear sky
286,Barstow,US,34.8986,-117.0228,72.3,47,100,5.1,overcast clouds
287,Pokosnoye,RU,55.5258,101.0536,33.06,97,100,10.09,overcast clouds
288,Epe,NG,6.5841,3.9834,78.51,85,91,4.41,overcast clouds
289,Itarema,BR,-2.9248,-39.9167,85.93,61,77,17.87,broken clouds
290,Martapura,ID,-3.4167,114.85,77.09,94,16,3.44,few clouds
291,Marawi,PH,7.9986,124.2928,68.65,94,100,1.45,overcast clouds
292,Borgarnes,IS,64.5383,-21.9206,48.65,73,100,16.53,light rain
293,Vila Velha,BR,-20.3297,-40.2925,85.95,66,0,8.05,clear sky
294,Donskoye,RU,45.4552,41.9741,49.23,55,86,20.02,overcast clouds
295,Maholi,IN,27.6667,80.4667,78.69,58,0,3.06,clear sky
296,Kupang,ID,-10.1667,123.5833,75.76,86,59,5.3,broken clouds
297,Aksu,CN,41.1231,80.2644,55.33,48,44,0.65,scattered clouds
298,Sioux Lookout,CA,50.1001,-91.917,69.87,68,20,8.05,few clouds
299,Luwingu,ZM,-10.2621,29.9271,76.23,26,55,4.47,broken clouds
300,Scarborough,GB,54.2797,-0.4044,64.9,84,36,1.99,scattered clouds
301,Leningradskiy,RU,69.3833,178.4167,22.41,96,100,3.18,overcast clouds
302,Cody,US,44.5263,-109.0565,63.21,44,90,0.0,overcast clouds
303,Bloomingdale,US,27.8936,-82.2404,94.32,65,1,1.01,clear sky
304,Eureka,US,40.8021,-124.1637,55.92,80,100,1.99,overcast clouds
305,Geraldton,AU,-28.7667,114.6,54.01,87,75,8.05,broken clouds
306,Sola,VU,-13.8833,167.55,80.11,79,20,18.48,few clouds
307,Anadyr,RU,64.75,177.4833,32.5,100,75,1.99,light shower snow
308,Xingcheng,CN,40.6167,120.7167,53.49,61,0,4.99,clear sky
309,Sorong,ID,-0.8833,131.25,78.35,90,100,7.47,overcast clouds
310,Yar-Sale,RU,66.8333,70.8333,42.87,87,100,20.13,overcast clouds
