City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Hastings,GB,2021-10-04 15:18:46,50.8552,0.5729,61.92,81,66,15.3
124,Klaksvik,FO,2021-10-04 15:18:47,62.2266,-6.589,49.12,87,100,27.89
125,Novaya Zaimka,RU,2021-10-04 15:18:47,56.4857,66.9241,31.28,79,97,9.93
126,Yar-Sale,RU,2021-10-04 15:18:47,66.8333,70.8333,35.35,93,100,14.76
127,Ndioum,SN,2021-10-04 15:18:47,16.5129,-14.6471,103.62,18,30,7.36
128,Tungor,RU,2021-10-04 15:18:48,53.3808,142.9564,42.55,60,100,18.28
129,Port Alfred,ZA,2021-10-04 15:18:48,-33.5906,26.891,59.97,70,56,12.84
130,Shimoda,JP,2021-10-04 15:18:48,34.6667,138.95,66.11,79,14,7.72
131,Sharya,RU,2021-10-04 15:18:49,58.3686,45.5144,45.09,73,100,3.42
132,Saskylakh,RU,2021-10-04 15:18:49,71.9167,114.0833,25.66,89,100,15.64
133,Pochutla,MX,2021-10-04 15:18:49,15.7432,-96.4661,86.83,66,83,1.43
134,Dhankuta,NP,2021-10-04 15:18:50,26.9833,87.3333,64.81,92,27,0.83
135,Luebo,CD,2021-10-04 15:18:50,-5.35,21.4167,83.57,57,91,2.82
136,Garmsar,IR,2021-10-04 15:18:51,35.2182,52.3409,79.3,23,0,6.87
137,Challans,FR,2021-10-04 15:18:51,46.8436,-1.8749,66.4,78,41,5.99
138,Maridi,SS,2021-10-04 15:15:39,4.9158,29.4742,73.49,87,70,5.97
139,Makaha,US,2021-10-04 15:18:51,21.4694,-158.2175,76.05,74,68,8.57
140,Coihaique,CL,2021-10-04 15:16:23,-45.5752,-72.0662,49.95,62,75,3.44
141,Cidreira,BR,2021-10-04 15:18:52,-30.1811,-50.2056,62.85,59,100,8.66
142,Schotten,DE,2021-10-04 15:18:52,50.5,9.1333,59.81,81,100,7.11
143,Turukhansk,RU,2021-10-04 15:18:53,65.8167,87.9833,29.53,82,100,5.32
144,Mahebourg,MU,2021-10-04 15:15:46,-20.4081,57.7,72.25,78,40,5.75
145,Pisco,PE,2021-10-04 15:18:53,-13.7,-76.2167,65.01,72,0,9.22
146,Namibe,AO,2021-10-04 15:18:53,-15.1961,12.1522,69.71,65,4,13.4
147,Pangnirtung,CA,2021-10-04 15:18:54,66.1451,-65.7125,33.8,86,75,2.3
148,Eyl,SO,2021-10-04 15:18:54,7.9803,49.8164,80.44,78,78,20.83
149,Saint-Philippe,RE,2021-10-04 15:18:55,-21.3585,55.7679,73.22,85,84,9.95
150,Guanare,VE,2021-10-04 15:18:55,9.0418,-69.7421,80.73,83,99,5.57
151,Port Blair,IN,2021-10-04 15:18:55,11.6667,92.75,80.33,85,23,8.81
152,Luderitz,NA,2021-10-04 15:18:55,-26.6481,15.1594,64.81,54,0,6.13
153,Belmonte,BR,2021-10-04 15:18:56,-15.8631,-38.8828,86.5,60,27,12.24
154,Samarai,PG,2021-10-04 15:18:56,-10.6167,150.6667,79.57,82,88,10.89
155,Butaritari,KI,2021-10-04 15:18:56,3.0707,172.7902,82.26,69,86,13.58
156,Saldanha,ZA,2021-10-04 15:18:57,-33.0117,17.9442,62.71,56,43,18.32
157,Anito,PH,2021-10-04 15:18:57,12.4497,125.2886,79.0,91,100,8.37
158,Maymyo,MM,2021-10-04 15:18:57,22.0333,96.4667,67.12,93,8,1.21
159,Dongobesh,TZ,2021-10-04 15:18:58,-4.0667,35.3833,67.93,47,98,1.7
160,Sur,OM,2021-10-04 15:18:58,22.5667,59.5289,85.37,67,28,4.65
161,Teya,RU,2021-10-04 15:18:58,60.3778,92.6267,33.01,91,100,1.97
162,Clyde River,CA,2021-10-04 15:18:59,70.4692,-68.5914,35.83,93,75,4.61
163,Raudeberg,NO,2021-10-04 15:18:59,61.9875,5.1352,56.19,78,19,30.06
164,Makakilo City,US,2021-10-04 15:18:59,21.3469,-158.0858,74.68,75,40,5.75
165,Itacare,BR,2021-10-04 15:19:00,-14.2775,-38.9967,85.89,58,24,10.36
166,New Norfolk,AU,2021-10-04 15:19:00,-42.7826,147.0587,49.5,71,20,2.1
167,Sanmenxia,CN,2021-10-04 15:19:00,34.7747,111.1814,59.04,94,100,4.0
168,Uruacu,BR,2021-10-04 15:19:01,-14.5247,-49.1408,97.86,27,50,6.8
169,Westport,US,2021-10-04 15:14:04,41.1415,-73.3579,70.79,93,90,8.99
170,Itaquaquecetuba,BR,2021-10-04 15:14:42,-23.4861,-46.3483,78.46,69,75,5.75
171,Krasnoselkup,RU,2021-10-04 15:17:43,65.7,82.4667,31.93,91,100,10.04
172,Gat,IL,2021-10-04 15:13:04,31.61,34.7642,79.48,50,0,11.97
173,Ancud,CL,2021-10-04 15:16:41,-41.8697,-73.8203,51.33,63,87,5.68
